2019-01-11 02:04:02,429 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@5f2108b5: startup date [Fri Jan 11 02:04:02 UTC 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-01-11 02:04:03,795 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/opt/activemq/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2019-01-11 02:04:04,100 | INFO  | PListStore:[/opt/activemq/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-01-11 02:04:04,278 | INFO  | Apache ActiveMQ 5.14.5 (localhost, ID:360370a941c6-40331-1547172244121-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-01-11 02:04:04,315 | INFO  | Listening for connections at: tcp://360370a941c6:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-01-11 02:04:04,317 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-01-11 02:04:04,322 | INFO  | Listening for connections at: amqp://360370a941c6:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-01-11 02:04:04,324 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2019-01-11 02:04:04,330 | INFO  | Listening for connections at: stomp://360370a941c6:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-01-11 02:04:04,332 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2019-01-11 02:04:04,343 | INFO  | Listening for connections at: mqtt://360370a941c6:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-01-11 02:04:04,345 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2019-01-11 02:04:04,581 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@5454d35e{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2019-01-11 02:04:04,660 | INFO  | Listening for connections at ws://360370a941c6:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2019-01-11 02:04:04,662 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2019-01-11 02:04:04,664 | INFO  | Apache ActiveMQ 5.14.5 (localhost, ID:360370a941c6-40331-1547172244121-0:1) started | org.apache.activemq.broker.BrokerService | main
2019-01-11 02:04:04,665 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2019-01-11 02:04:05,299 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2019-01-11 02:04:05,457 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2019-01-11 02:04:05,458 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2019-01-11 02:04:05,529 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2019-01-11 02:04:05,862 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2019-01-11 02:04:05,915 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
